Title,Folder_Path,File_Path,Encoder
A Bittersweet Life (2005),G:\0 Director\Ji-woon Kim\A Bittersweet Life (2005) Tigole 7.6,A.Bittersweet.Life.2005.JPN.1080p.BluRay.x265.HEVC.EAC3-SARTRE.mkv,SARTRE
A Tale of Two Sisters (2003),G:\0 Director\Ji-woon Kim\A Tale of Two Sisters (2003) Tigole 6.2,A Tale of Two Sisters (2003) (1080p BluRay x265 r00t).mkv,r00t
I Saw the Devil (2010),G:\0 Director\Ji-woon Kim\I Saw the Devil (2010) Tigole 6.9,I Saw the Devil (2010) (1080p BluRay x265 10bit Tigole).mkv,Tigole
The Age of Shadows (2016),G:\0 Director\Ji-woon Kim\The Age of Shadows (2016) Tigole 6.4,The.Age.of.Shadows.2016.BluRay.HEVC.EAC3-SARTRE.mkv,SARTRE
The Good the Bad the Weird (2008),G:\0 Director\Ji-woon Kim\The Good The Bad The Weird (2008) 6.4,The_Good_the_Bad_the_Weird_2008_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Daddy Longlegs (2009),G:\0 Director\Josh Safdie\Daddy Longlegs (2009) YTS 6.9 100,Daddy_Longlegs_2009_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
Good Time (2017),G:\0 Director\Josh Safdie\Good Time (2017) Tigole 7.3 1900,Good Time 2017 (1080p x265 10bit Tigole).mkv,Tigole
Heaven Knows What (2014),G:\0 Director\Josh Safdie\Heaven Knows What (2014) 7 300,Heaven_Knows_What_2014_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
The Pleasure of Being Robbed (2008),G:\0 Director\Josh Safdie\The Pleasure of Being Robbed (2008) YTS 5.4 100,The_Pleasure_of_Being_Robbed_2008_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
Uncut Gems (2019),G:\0 Director\Josh Safdie\Uncut Gem (2019) Tigole 7.8 2800,Uncut Gems (2019) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Certain Women (2016),G:\0 Director\Kelly Reichardt\Certain Women (2016) 6.8 400,Certain_Women_2016_1080p_BluRay_AdiT_30NAMA.mkv,AdiT
First Cow (2019),G:\0 Director\Kelly Reichardt\First Cow (2019) 7.7 500,First Cow (2019) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Meeks Cutoff (2010),G:\0 Director\Kelly Reichardt\Meeks Cutoff (2010) 7.1 700,Meeks.Cutoff.2010.LIMITED.1080p.BluRay.X264-AMIABLE.mkv,AMIABLE
Old Joy (2006),G:\0 Director\Kelly Reichardt\Old Joy (2006) YTS 6.8 500,Old.Joy.2006.1080p.BluRay.x264.YIFY.mp4,YIFY
Wendy and Lucy (2008),G:\0 Director\Kelly Reichardt\Wendy and Lucy (2008) YTS 6.5 900,Wendy_and_Lucy_2008_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Adam and Paul (2004),G:\0 Director\Lenny Abrahamson\Adam and Paul (2004) dvd 7.1 100,Adam_and_Paul_2004_DVDRip_30NAMA.mkv,DVDRip
Frank (2014),G:\0 Director\Lenny Abrahamson\FRANK (2014) Tigole 6.4 1500,Frank_2014_10bit_1080p_x265_BluRay_5.1CH_Tigole_30NAMA.mkv,Tigole
Room (2015),G:\0 Director\Lenny Abrahamson\Room (2015) Tigole 7 3600,Room (2015) (1080p BluRay x265 Silence).mkv,Silence
La Cienaga (2001),G:\0 Director\Lucrecia Martel\La Cienaga (2001) YTS 7.7 400,La Cienaga (2001) 720p BluRay 8.5.mkv,
The Headless Woman (2008),G:\0 Director\Lucrecia Martel\The Headless Woman (2008) dvd 6.4 400,The_Headless_Woman_2008_DVD9_30NAMA.mkv,
The Holy Girl (2004),G:\0 Director\Lucrecia Martel\The Holy Girl (2004) dvd 6.9 200,The_Holy_Girl_2004_DVDRip_30NAMA.avi,DVDRip
Zama (2017),G:\0 Director\Lucrecia Martel\Zama (2017) 6.5 300,Zama.2017.1080p.BluRay.x264-[YTS.AM].mp4,YTS
Morvern Callar (2002),G:\0 Director\Lynne Ramsay\Morvern Callar (2002) dvd 7.2 500,Morvern_Callar_2002_DVDRip_HQ_30NAMA.mkv,DVDRip
We Need to Talk About Kevin (2011),G:\0 Director\Lynne Ramsay\We Need to Talk About Kevin (2011) Tigole 6.8 3300,We Need to Talk About Kevin (2011) (1080p BluRay x265 Silence).mkv,Silence
You Were Never Really Here (2017),G:\0 Director\Lynne Ramsay\You Were Never Really Here (2017) 6.7 1800,You_Were_Never_Really_Here_2017_10bit_1080p_x265_BluRay_AAC_5.1_Qman_30NAMA.mkv,Qman
Alle Anderen (2009),G:\0 Director\Maren Ade\Alle Anderen (2009) dvd 6.9 300,Alle Anderen (2009).AC3.DVDRip.XviD-CRUCiAL.CD1.avi,DVDRip
"Der Wald vor lauter Bäumen (Maren Ade, (2003))",G:\0 Director\Maren Ade\The Forest for the Trees (2003) dvd 7 100,"Der Wald vor lauter Bäumen (Maren Ade, 2003).avi",
Toni Erdmann (2016),G:\0 Director\Maren Ade\Toni Erdmann (2016) Tigole 7.6 1300,Toni Erdmann (2016) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Dogman (2018),G:\0 Director\Matteo Garrone\Dogman (2018) 6.7 500,Dogman_2018_10bit_1080p_x265_BrRip_AAC_30NAMA.mkv,
Gomorrah (2008),G:\0 Director\Matteo Garrone\Gomorrah (2008) Sartre 6 1300,Gomorrah.2008.Criterion.1080p.BluRay.x265.HEVC.AAC-SARTRE.mkv,SARTRE
reality (2012),G:\0 Director\Matteo Garrone\Reality (2012) nikt0 6.4 100,reality.2012.limited.1080p.bluray.x264.mkv,
Mogari no Mori (2007),G:\0 Director\Naomi Kawase\Mogari no Mori (2007) dvd 7.2 100,Mogari no Mori (2007).mkv,
Sharasoju (2003),G:\0 Director\Naomi Kawase\Shara (2003) dvd 7.5 100,Sharasoju_2003_DVDRip_PROMiSE_30NAMA.avi,DVDRip
Sweet Bean (2015),G:\0 Director\Naomi Kawase\Sweet Bean (2015) 6.4 200,Sweet_Bean_2015_1080p_BrRip_30nama_30NAMA.mkv,30nama
Drive (2011),G:\0 Director\Nicolas Winding Refn\Drive (2011) Tigole 7.4 9800,Drive_2011_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
Wit Blood on My Hands Pusher II (2004),G:\0 Director\Nicolas Winding Refn\Pusher II With Blood on My Hands (2004) Qman 7.1 600,Wit_Blood_on_My_Hands_Pusher_II_2004_10bit_1080p_x265_BluRay_Qman_30NAMA.mkv,Qman
Pusher III (2005),G:\0 Director\Nicolas Winding Refn\Pusher III (2005) Qman 6.4 500,Pusher_III_2005_10bit_1080p_x265_BluRay_Qman_30NAMA.mkv,Qman
Kicking and Screaming (1995),G:\0 Director\Noah Baumbach,Kicking_and_Screaming_1995_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
M i s t r e s s America (2015),G:\0 Director\Noah Baumbach,M_i_s_t_r_e_s_s_America_2015_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
The Meyerowitz Stories New and Selected (2017),G:\0 Director\Noah Baumbach,The_Meyerowitz_Stories_New_and_Selected_2017_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Frances Ha (2012),G:\0 Director\Noah Baumbach\Frances Ha (2012) Tigole 7.1,Frances Ha (2012) Criterion (1080p BluRay x265 10bit Tigole).mkv,Tigole
Marriage Story (2019),G:\0 Director\Noah Baumbach\Marriage Story (2019) Tigole 7.6,Marriage Story (2019) Criterion (1080p BluRay x265 10bit Tigole).mkv,Tigole
The Squid and the Whale (2005),G:\0 Director\Noah Baumbach\The Squid and the Whale (2005) Silence,The Squid and the Whale (2005) Criterion (1080p BluRay x265 Silence).mkv,Silence
Climates (2006),G:\0 Director\Nuri Bilge Ceylan\Climates (2006) 6.5,Climates_2006_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Clouds of May (1999),G:\0 Director\Nuri Bilge Ceylan\Clouds of May (1999) 7.1,Clouds_of_May_1999_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Uzak (2002),G:\0 Director\Nuri Bilge Ceylan\Distant (2002) Tigole 8.4,Uzak.2002.1080p.BluRay.x265.HEVC.AAC-SARTRE.mkv,SARTRE
The Small Town (1997),G:\0 Director\Nuri Bilge Ceylan\Kasaba (1997) 6,The_Small_Town_1997_1080p_BrRip_AAC_YIFY_30NAMA.mp4,YIFY
Once Upon a Time in Anatolia (2011),G:\0 Director\Nuri Bilge Ceylan\Once Upon a Time in Anatolia (2011) Tigole 8.6,Once Upon a Time in Anatolia (2011) (1080p BluRay x265 Silence).mkv,Silence
The Wild Pear Tree (2018),G:\0 Director\Nuri Bilge Ceylan\The Wild Pear Tree (2018) Tigole 8.7,The Wild Pear Tree (2018) (1080p BluRay x265 r00t).mkv,r00t
Three Monkeys (2008),G:\0 Director\Nuri Bilge Ceylan\Three Monkeys (2008) Tigole 7.1,Three_Monkeys_2008_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Winter Sleep (2014),G:\0 Director\Nuri Bilge Ceylan\Winter Sleep (2014) Tigole 8.8,Winter_Sleep_2014_10bit_1080p_x265_BluRay_Silence_30NAMA.mkv,Silence
Carlos (2010),G:\0 Director\Olivier Assayas\Carlos (2010) Tigole 7.7,Carlos (2010) Criterion - S01E01 - Part 1 (1080p BluRay x265 afm72).mkv,afm72
Clean (2004),G:\0 Director\Olivier Assayas\Clean (2004) 6.1,Clean_2004_1080p_WEBRip_AC3_monkee_30NAMA.mkv,monkee
Clouds of Sils Maria (2014),G:\0 Director\Olivier Assayas\Clouds of Sils Maria (2014) 7.2,Clouds of Sils Maria 2014 Criterion (1080p x265 10bit Tigole).mkv,Tigole
Cold Water (1994),G:\0 Director\Olivier Assayas\Cold Water (1994) 7.7,Cold Water (1994) Criterion (1080p BluRay x265 10bit Tigole).mkv,Tigole
Irma Vep (1996),G:\0 Director\Olivier Assayas\Irma Vep (1996) 7.5,Irma Vep (1996) Criterion (1080p BluRay x265 10bit Tigole).mkv,Tigole
Late August Early September (1998),G:\0 Director\Olivier Assayas\Late August Early September (1998) 7,Late_August_Early_September_1998_BrRip_30NAMA.mkv,
Personal Shopper (2016),G:\0 Director\Olivier Assayas\Personal Shopper (2016) Tigole 6,Personal Shopper 2016 Criterion (1080p x265 10bit Tigole).mkv,Tigole
Summer Hours (2008),G:\0 Director\Olivier Assayas\Summer Hours (2008) 6.7,Summer_Hours_2008_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Il divo La spettacolare vita di Giulio Andreotti (2008),G:\0 Director\Paolo Sorrentino\Il Divo (2008) 6.5,Il_divo_La_spettacolare_vita_di_Giulio_Andreotti_2008_1080p_BrRip_AAC_VXT_30NAMA.mp4,VXT
The Consequences of Love (2004),G:\0 Director\Paolo Sorrentino\The Consequences of Love (2004) 7.3,The_Consequences_of_Love_2004_1080p_WEB-DL_5.1CH_BALENA_30NAMA.mkv,
The Family Friend (2006),G:\0 Director\Paolo Sorrentino\The Family Friend (2006) 6.8,The_Family_Friend_2006_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
The Great Beauty (2013),G:\0 Director\Paolo Sorrentino\The Great Beauty (2013) Tigole 7.9,The Great Beauty (2013) Criterion (1080p BluRay x265 afm72).mkv,afm72
The Hand of God (2021),G:\0 Director\Paolo Sorrentino\The Hand of God (2021) 6.7,The Hand of God (2021) (1080p NF WEB-DL x265 Silence).mkv,Silence
Youth (2015),G:\0 Director\Paolo Sorrentino\Youth (2015) Tigole 6.1,Youth_2015_10bit_1080p_x265_BluRay_5.1CH_Tigole_30NAMA.mkv,Tigole
Im a Cyborg But Thats OK (2006),G:\0 Director\Park Chan Wook,Im_a_Cyborg_But_Thats_OK_2006_1080p_BluRay_TFiN_30NAMA.mkv,
JSA Joint Security Area (2000),G:\0 Director\Park Chan Wook,JSA_Joint_Security_Area_2000_10bit_1080p_x265_BluRay_Silence_30NAMA.mkv,Silence
Thirst (2009),G:\0 Director\Park Chan Wook,Thirst_2009_1080p_BluRay_nikt0_30NAMA.mkv,nikt0
The Handmaiden (2016),G:\0 Director\Park Chan Wook\Handmaiden (2016) 9492 4.3 95,The Handmaiden (2016) (1080p BluRay x265 Silence).mkv,Silence
Oldboy (2003),G:\0 Director\Park Chan Wook\Oldboy (2003) 96 +++,Oldboy (2003) (1080p BluRay x265 10bit HDR Bandi).mkv,Bandi
Stoker (2013),G:\0 Director\Park Chan Wook\Stoker (2013) afm72 5.9 1900,Stoker (2013) (1080p BluRay x265 afm72).mkv,afm72
Sympathy for Mr  Vengeance (2002),G:\0 Director\Park Chan Wook\Sympathy for Mr Vengeance (2002) 91 +,Sympathy for Mr. Vengeance (2002) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Lady Vengeance (2005),G:\0 Director\Park Chan Wook\[Zipped]Lady.Vengeance.2005.4K.HDR.2160p.BDRip Ita Kor x265-NAHOM,Lady Vengeance (2005) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Hard Eight (1996),G:\0 Director\Paul Thomas Anderson,Hard_Eight_1996_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Anima (2019),G:\0 Director\Paul Thomas Anderson\Anima (2019) 6.5 300,Anima_2019_1080p_WEB-DL_NTG_30NAMA.mkv,NTG
Boogie Nights (1997),G:\0 Director\Paul Thomas Anderson\Boogie Nights (1997) 9289 3.6 92 Tigole,Boogie Nights (1997) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Inherent Vice (2014),G:\0 Director\Paul Thomas Anderson\Inherent Vice (2014) 91 = Tigole,Inherent Vice 2014 (1080p x265 10bit Tigole).mkv,Tigole
Magnolia (1999),G:\0 Director\Paul Thomas Anderson\Magnolia (1999) 93 + Tigole,Magnolia (1999) (1080p BluRay x265 afm72).mkv,afm72
Phantom Thread (2017),G:\0 Director\Paul Thomas Anderson\Phant0m Thread (2017) Tigole,Phantom_Thread_2017_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Punch Drunk Love (2002),G:\0 Director\Paul Thomas Anderson\Punch Drunk Love (2002) 89 = Tigole,Punch_Drunk_Love_2002_CRITERION_COLLECTION_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
The Master (2012),G:\0 Director\Paul Thomas Anderson\The Master (2012) 92 ++ Tigole,The_Master_2012_10bit_1080p_x265_BluRay_AAC_5.1_Silence_30NAMA.mkv,Silence
There Will Be Blood (2007),G:\0 Director\Paul Thomas Anderson\There Will Be Blood (2007) 92 = Tigole,There_Will_Be_Blood_2007_10bit_1080p_x265_BluRay_6CH_Silence_30NAMA.mkv,Silence
Benedetta (2021),G:\0 Director\Paul Verhoeven\Benedetta (2021) Ne 30nama 6.3 200,Benedetta_2021_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Black Book (2006),G:\0 Director\Paul Verhoeven\Black Book (2006)  afm72 6.6 1500,Black Book (2006) (1080p BluRay x265 afm72).mkv,afm72
Elle (2016),G:\0 Director\Paul Verhoeven\Elle (2016) Tigole 7.3 1200,Elle (2016) (1080p BluRay x265 Silence).mkv,Silence
Colossal Youth (2006),G:\0 Director\Pedro Costa\Colossal Youth (2006) dvd 8 200,Colossal_Youth_2006_DVDRip_30NAMA.mkv,DVDRip
Horse Money (2014),G:\0 Director\Pedro Costa\Horse Money (2014) 7.6 200,Horse_Money_2014_1080p_BrRip_30nama_30NAMA.mp4,30nama
In Vandas Room (2000),G:\0 Director\Pedro Costa\In Vandas Room (2000) YTS 8.1 200,In_Vandas_Room_2000_720p_BrRip_30NAMA _ 9.mkv,
Vitalina Varela (2019),G:\0 Director\Pedro Costa\Vitalina Varela (2019) 7.9 100,Vitalina_Varela_2019_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Inside Out (2015),G:\0 Director\Pete Docter\Inside Out (2015) 4K 7.2 6400,Inside_Out_2015_10bit_HDR_2160p_x265_BluRay_UHD_Tigole_30NAMA.mkv,Tigole
Soul (2020),G:\0 Director\Pete Docter\Soul (2020) Tigole 7.1 1600,Soul (2020) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Up (2009),G:\0 Director\Pete Docter\Up (2009) 4K Tigole 6.9 14400,Up_2009_10bit_HDR_2160p_x265_BluRay_UHD_AAC_7.1_Tigole_30NAMA.mkv,Tigole
WALLE (2008),G:\0 Director\Pete Docter\Wall-E (2008) 4K Tigole 7 17800,WALLE_2008_10bit_HDR_2160p_x265_BluRay_UHD_AAC_7.1_Tigole_30NAMA.mkv,Tigole
Once Upon a Time in Hollywood (2019),G:\0 Director\Quentin Tarantino,Once_Upon_a_Time_in_Hollywood_2019_10bit_1080p_x265_BluRay_AAC_Tigole_30NAMA.mkv,Tigole
The Hateful Eight (2015),G:\0 Director\Quentin Tarantino,The_Hateful_Eight_2015_10bit_1080p_x265_BluRay_AAC_afm72_30NAMA.mkv,afm72
Django Unchained (2012),G:\0 Director\Quentin Tarantino\Django Unchained (2012)  [2160p x265 10bit FS97 Joy],Django Unchained (2012)  [2160p x265 10bit FS97 Joy].mkv,Joy
Inglourious Basterds (2009),G:\0 Director\Quentin Tarantino\Inglourious Basterds (2009) (2160p BluRay x265 HEVC 10bit HDR AAC 5.1 Tigole),Inglourious Basterds (2009) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Pulp Fiction (1994),G:\0 Director\Quentin Tarantino\Pulp Fiction (1994) POL (1080p BluRay x265 HEVC 10bit AAC 5.1 Natty),Pulp Fiction (1994) POL (1080p BluRay x265 Natty).mkv,Natty
Reservoir Dogs (1992),G:\0 Director\Quentin Tarantino\Reservoir Dogs DUBBED (1992 DUBBED),Reservoir Dogs (1992) (1080p BluRay x265 Silence).mkv,Silence
Jackie Brown (1997),G:\0 Director\Quentin Tarantino\[Zipped]Jackie Brown (1997) (1080p BluRay x265 HEVC 10bit AAC 5.1 RZeroX),Jackie Brown (1997) (1080p BluRay x265 RZeroX).mkv,RZeroX
The happiest girl in the world (2009),G:\0 Director\Radu Jude,The happiest girl in the world 2009.avi,
Aferim (2015),G:\0 Director\Radu Jude\Aferim (2015) 7.2 200,Aferim_2015_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
A Ay (1988),G:\0 Director\Reha Erdem,A Ay.1988.DVDRip.x264.mkv,DVDRip
Kac Para Kac (1999),G:\0 Director\Reha Erdem,Kac.Para.Kac.1999.DVDRiP.XviD-UnSeeN.avi,
Kosmos - Reha Erdem (2010),G:\0 Director\Reha Erdem,Kosmos - Reha Erdem (2010).avi,
My Only Sunshine (Hayat Var) (2008),G:\0 Director\Reha Erdem,My.Only.Sunshine.(Hayat.Var).2008.DVDRip.XviD.HORiZON-ArtSubs.avi,HORiZON
Korkuyorum Anne (2004),G:\0 Director\Reha Erdem\Korkuyorum Anne (2004) YTS 7.2 500,Korkuyorum Anne 2004 720p 7.7.mp4,
Bes Vakit (2006),G:\0 Director\Reha Erdem\Times and Winds (2006) YTS 7 500,Bes_Vakit_2006_1080p_WEB-DL_TR_30NAMA.mkv,
Everybody Wants Some (2016),G:\0 Director\Richard Linklater,Everybody_Wants_Some_2016_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Tape (2001),G:\0 Director\Richard Linklater,Tape_2001_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
A Scanner Darkly (2006),G:\0 Director\Richard Linklater\A Scanner Darkly (2006) FreetheFish 5.5 6000,A Scanner Darkly (2006) (1080p BluRay x265 FreetheFish).mkv,FreetheFish
Before Sunset (2004),G:\0 Director\Richard Linklater\Before Sunset (2004) 9591 91 Tigole,Before_Sunset_2004_CRITERION_COLLECTION_10bit_1080p_x265_BluRay_Silence_30NAMA.mkv,Silence
Before Midnight (2013),G:\0 Director\Richard Linklater\Before.Midnight (2013) 9882 4 91 + p Tigole,Before_Midnight_2013_CRITERION_COLLECTION_10bit_1080p_x265_BluRay_Silence_30NAMA.mkv,Silence
Before Sunrise (1995),G:\0 Director\Richard Linklater\Before.Sunrise (1995) 10093 4.1 93 Tigole,Before_Sunrise_1995_CRITERION_COLLECTION_10bit_1080p_x265_BluRay_Silence_30NAMA.mkv,Silence
Boyhood (2014),G:\0 Director\Richard Linklater\Boyhood (2014) 9881 4.1 Tigole,Boyhood_2014_CRITERION_COLLECTION_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Dazed and Confused (1993),G:\0 Director\Richard Linklater\Dazed and Confused (1993) 86 Tigole,Dazed_and_Confused_1993_CRITERION_COLLECTION_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Waking Life (2001),G:\0 Director\Richard Linklater\Waking Life (2001) 8087 4 90 Tigole,Waking Life (2001) (1080p BluRay x265 FreetheFish).mkv,FreetheFish
A Pigeon Sat on a Branch Reflecting on Existence (2014),G:\0 Director\Roy Andersson\A Pigeon Sat on a Branch Reflecting on Existence (2014) Tigole,A Pigeon Sat on a Branch Reflecting on Existence 2014 (1080p x265 10bit Tigole).mkv,Tigole
About Endlessness (2019),G:\0 Director\Roy Andersson\About Endlessness (2019) Tigole,About Endlessness (2019) (1080p BluRay x265 10bit Tigole).mkv,Tigole
A Swedish Love Story (1970),G:\0 Director\Roy Andersson\A_Swedish_Love_Story (1970),A_Swedish_Love_Story_1970_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Songs from the Second Floor (2000),G:\0 Director\Roy Andersson\Songs from the Second Floor (2000) 94 +,Songs_from_the_Second_Floor_2000_1080p_BrRip_Unknown_30NAMA 96.mkv,
You the Living (2007),G:\0 Director\Roy Andersson\You the Living (2007) 88,You_the_Living_2007_1080p_BrRip_Unknown_30NAMA 88.mkv,
American Beauty (1999),G:\0 Director\Sam Mendes,American Beauty (1999) (1080p BDRip x265 10bit DTS-HD MA 5.1 - xtrem3x) [TAoE].mkv,TAoE
1917 (2019),G:\0 Director\Sam Mendes\1917 (2019) 4K Tigole,1917_2019_10bit_HDR_2160p_x265_BluRay_UHD_AAC_7.1_Tigole_30NAMA.mkv,Tigole
Road to Perdition (2002),G:\0 Director\Sam Mendes\Road to Perdition (2002) Tigole,Road to Perdition (2002) V2 (1080p BluRay x265 10bit Tigole).mkv,Tigole
Revolutionary Road (2008),G:\0 Director\Sam Mendes\[Zipped]Revolutionary Road (2008) (1080p BluRay x265 HEVC 10bit AAC 5.1 Tigole),Revolutionary Road (2008) (1080p x265 10bit Tigole).mkv,Tigole
Grass (2018),G:\0 Director\Sang-soo Hong,Grass_2018_720p_BluRay_JRP_30NAMA.mkv,
Hill of Freedom (2014),G:\0 Director\Sang-soo Hong,Hill_of_Freedom_2014_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
In Another Country (2012),G:\0 Director\Sang-soo Hong,In_Another_Country_2012_1080p_BrRip_5.1CH_Ganool_30NAMA.mkv,Ganool
Nobodys Daughter Haewon (2013),G:\0 Director\Sang-soo Hong,Nobodys_Daughter_Haewon_2013_720p_BluRay_DTS_PublicHD_30NAMA.mkv,PublicHD
Oki s Movie (2010),G:\0 Director\Sang-soo Hong,Oki_s_Movie_2010_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Our Sunhi (2013),G:\0 Director\Sang-soo Hong,Our_Sunhi_2013_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
The Day After (2017),G:\0 Director\Sang-soo Hong,The_Day_After_2017_720p_HDRip_30NAMA.mp4,
Woman Is The Future Of Man (2004),G:\0 Director\Sang-soo Hong,Woman_Is_The_Future_Of_Man_2004_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Woman on the Beach (2006),G:\0 Director\Sang-soo Hong,Woman_on_the_Beach_2006_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Yourself and Yours (2016),G:\0 Director\Sang-soo Hong,Yourself_and_Yours_2016_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Night and Day (2008),G:\0 Director\Sang-soo Hong\Night and Day (2008) PublicHD 7.5 100,Night.and.Day.2008.BluRay.1080p.DTS.x264-CHD.mkv,CHD
tale of cinema (2005),G:\0 Director\Sang-soo Hong\Tale of Cinema (2005) USURY 7 100,tale.of.cinema.2005.1080p.bluray.x264-usury.mkv,usury
Saenghwalui balgyeon (2002),G:\0 Director\Sang-soo Hong\Turning Gate (2002) PublicHD 7.4 100,Saenghwalui balgyeon 2002 1080p BluRay DD5.1 x264-EA.mkv,
Oh! Soo-jung (2000),G:\0 Director\Sang-soo Hong\Virgin Stripped Bare by Her Bachelors (2000) PublicHD 7.5 100,Oh! Soo-jung 2000 1080p BluRay DD5.1 x264-EA.mkv,
gimchi-rightnowwrongthen2015,G:\0 Director\Sang-soo Hong\[Zipped]Right.Now.Wrong.Then.2015.1080p.BluRay.x264-GiMCHi[PRiME],gimchi-rightnowwrongthen2015.1080p[PRiME].mkv,
Cold Fish (2010),G:\0 Director\Sion Sono,Cold_Fish_2010_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Tokyo Tribe (2014),G:\0 Director\Sion Sono,Tokyo_Tribe_2014_1080p_BrRip_30nama_30NAMA.mkv,30nama
Guilty Of Romance (2011),G:\0 Director\Sion Sono\Guilty Of Romance (2011) 7 200,Guilty.Of.Romance.2011.1080p.BluRay.x264.AAC-[YTS.MX].mp4,YTS
Himizu (2011),G:\0 Director\Sion Sono\Himizu (2011) r00t,Himizu (2011) (1080p BluRay x265 r00t).mkv,r00t
Love Exposure (2008),G:\0 Director\Sion Sono\Love Exposure (2008) Tigole 8.4 700,Love Exposure 2008 (1080p x265 10bit Tigole).mkv,Tigole
Noriko no shokutaku (2005),G:\0 Director\Sion Sono\Noriko's Dinner Table (2005) dvd 7.2 200,Noriko_no_shokutaku_2005_DVDRip_30NAMA.avi,DVDRip
Escher dori no akai posuto (2020),G:\0 Director\Sion Sono\Red Post on Escher Street (2020) YTS 6.9 0,Escher_dori_no_akai_posuto_2020_1080p_WEB-DL_Dream_30NAMA.mkv,
Strange Circus (2005),G:\0 Director\Sion Sono\Strange Circus (2005) JP dvd 6.2 200,Strange_Circus_2005_DVDRip_30NAMA.avi,DVDRip
Suicide Club (2001),G:\0 Director\Sion Sono\Suicide Club (2001) dvd 6 700,Suicide_Club_2001_DVDRip_30NAMA.mkv,DVDRip
Why Don't You Play In Hell  (2013),G:\0 Director\Sion Sono\Why Don't You Play In Hell (2013) 7.2 300,Why.Don't.You.Play.In.Hell..2013.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,YTS
Im Here (2010),G:\0 Director\Spike Jones,Im_Here_2010_DVDRip_HQ_30NAMA.mp4,DVDRip
Adaptation  (2002),G:\0 Director\Spike Jones\Adaptation (2002) 9185 92 ++ $ Tigole,Adaptation. (2002) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Being John Malkovich (1999),G:\0 Director\Spike Jones\Being John Malkovich (1999) 9387 3.6 89 Tigole,Being_John_Malkovich_1999_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Her (2013),G:\0 Director\Spike Jones\Her (2013) 9482 4 Tigole,Her (2013) (1080p BluRay x265 afm72).mkv,afm72
Where the Wild Things Are (2009),G:\0 Director\Spike Jones\Where the Wild Things Are (2009) 91 =,Where the Wild Things Are (2009).mkv,
Bubble (2005),G:\0 Director\Steven Soderbergh,Bubble_2005_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Contagion (2011),G:\0 Director\Steven Soderbergh,Contagion_2011_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Gray s Anatomy (1996),G:\0 Director\Steven Soderbergh,Gray_s_Anatomy_1996_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
King of the Hill (1993),G:\0 Director\Steven Soderbergh,King_of_the_Hill_1993_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
